YEAR;POSITION;COUNT;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
2012;SF;89;27,56179775;43,08988764;21,03370787;22,05617978;0,461786517;6,767474443;15,72186186;0,934344871;1,506927508;4,46349437;0,632386487;3,143376057;4,08738519;1,613881999;1,798349852;5,905661356;7,701520419;3,252970785;2,530641897;1,521872243;0,854340719;0,891702558;3,649006279;3,387473406;18,15785377;-2,0424472;4,732499611;0,049815785;228,1812049;0,271794925;0,423907426;0,432425925;0,390954284;16,80784599;13,27341601;13,21861865;40,79663743;0,135648384
2012;SG;96;26,94791667;48,41666667;24,32291667;24,09375;0,503322917;6,999395321;16,43015954;0,898467836;1,891064701;5,33382948;0,660644681;3,264151821;4,157216615;1,560340481;1,321735895;4,554630448;5,871901019;4,150518629;2,62114517;1,558398065;0,535838876;0,881901484;3,407042188;3,574491837;19,13614587;0,323735988;1,741476348;0,02232662;217,8140379;0,208285037;0,322307084;0,427532443;0,236394251;16,33192241;13,09009721;13,14591376;40,87334295;0,144162984
2007;C;88;26,95454545;56,125;27,40909091;28,71590909;0,471602273;6,694744377;13,44389429;1,206170733;0,23193939;0,690091272;0,200813697;3,547813637;5,288790789;1,630333473;3,831295114;8,112151763;11,92912963;2,462566366;2,972260335;1,119608662;1,970053093;1,042295532;5,904432381;4,713237487;17,16924178;-1,268508024;19,61462745;0,057268985;261,6190419;0,425479926;0,664062519;0,392951142;1,045874843;17,04325001;12,99719621;12,38155461;39,77903717;0,141339856
2007;PF;110;26,62727273;53,45454545;26,16363636;27,29090909;0,472781818;7,043778456;15,15144844;1,196625807;0,770901086;2,187822084;0,465422525;3,720018012;5,08890779;1,882247461;3,230099565;7,533696903;10,76139491;2,696953019;2,754590484;1,244008606;1,063891529;1,020663431;5,350677941;4,445289438;18,59048381;-0,761294842;14,1932256;0,144093661;271,6117476;0,425028268;0,663143043;0,443088007;0,660693451;17,07509881;12,90118577;11,97898634;39,2895382;0,151514484
2007;PG;81;26,95061728;59,14814815;28,9382716;30,20987654;0,47562963;6,81615159;16,10918114;0,888860817;1,518610422;4,415068802;0,661502369;3,703135574;4,664110083;1,638502143;0,998872096;3,995488383;5,00518836;7,495601173;3,245657568;1,737875028;0,276110986;0,849988721;3,903451387;4,068576585;18,82968644;-0,324836454;7,931423415;0,108278818;227,1418904;0,184398827;0,286343334;0,492641552;0,123952177;16,67493797;13,03135574;11,81863298;39,42973156;0,146230544
2007;SF;72;26,93055556;59,36111111;31,01388889;28,34722222;0,519708333;7,488308116;16,60797799;0,872682256;1,620357634;4,456671252;0,592709766;4,063273728;5,281980743;1,467235213;1,870701513;5,642365887;7,502063274;3,502063274;2,668500688;1,554332875;0,792297111;0,885832187;3,911966988;4,308115543;20,65474553;0,041265475;8,665749656;0,385144429;205,8074278;0,239834938;0,369711142;0,417771664;0,30605227;16,77579092;13,0784044;11,79917469;39,38376891;0,140165062
2007;SG;90;27;57,14444444;28,62222222;28,52222222;0,486233333;7,416299246;16,62580003;0,884949509;1,658938984;4,587683118;0,617858057;4,10979946;5,302232968;1,561905846;1,381311336;4,467074385;5,850661357;4,467074385;2,839994311;1,524676433;0,555255298;0,867017494;3,777556535;4,360119471;20,62864457;-0,593941118;5,097425686;0,136538188;212,3988053;0,192496089;0,301066705;0,44206514;0,226334803;16,79192149;13,22144787;12,1996871;39,70758071;0,140088181
2002;C;90;26,47777778;53,3;26,71111111;26,58888889;0,4879;6,226111946;13,51498922;1,267700346;0,338580106;0,893475279;0,235156423;3,373261054;4,953301548;1,769676703;4,147606296;7,771667429;11,91300372;1,871595585;2,476650774;1,175625367;1,996995624;1,191300372;5,975311867;0,025080008;16,17033505;-1,109790347;12,4773039;0,03135001;285,1252041;0,452349291;0,722805826;0,41523088;1,105683496;15,77532493;13,90372934;13,09176409;38,28463196;0,147783946
2002;PF;90;28,42222222;57,7;28,74444444;28,95555556;0,486155556;6,970809008;15,46538782;0,999783153;0,562969141;1,688907423;0,400758966;3,758131776;5,141784821;1,598482068;3,380316931;7,523769808;10,8940784;2,987489575;2,759799833;1,326105088;1,393661384;1,180984153;4,936613845;0,025020851;18,26522102;-1,013344454;15,91326105;0,100083403;229,3386155;0,349641368;0,557839867;0,366955796;0,6064804;16,06839033;13,60383653;13,20100083;37,95913261;0,142819016
2002;PG;81;28,02469136;56,33333333;28,37037037;27,96296296;0,49891358;6,571152205;15,7887909;0,893633001;1,401081081;4,118577525;0,66104808;3,056159317;3,900085349;1,702108677;1,119772404;4,093997155;5,219231863;8,155220484;3,192716927;1,917268848;0,3714367;0,802958748;3,588733997;0,002731152;17,58315789;-0,390554765;10,13257468;0,546230441;223,689559;0,179409388;0,287344523;0,544810242;0,137185775;15,64677098;13,83328592;12,3885064;37,91112376;0,147700711
2002;SF;81;27,48148148;55,40740741;28,2962963;27,11111111;0,502950617;7,59455179;17,08457396;0,885828318;1,013620526;3,038327526;0,535901172;3,64396579;4,860310421;1,464504276;2,356667723;5,780171048;8,121634463;3,436173583;2,675958188;1,573645866;0,897054165;1,076971809;4,08742477;0,005068103;19,83908774;0,121634463;8,641114983;0,025340513;207,5920177;0,238150143;0,380867913;0,403623693;0,372429522;15,68831169;13,8815331;12,59930314;38,05384859;0,145606589
2002;SG;85;27,81176471;56,78823529;27,72941176;29,05882353;0,466141176;7,486464315;17,39950779;0,865373257;1,49630845;4,215750615;0,628375718;3,442986054;4,328958162;1,6214274;1,511074651;4,794093519;6,305168171;4,567678425;2,662838392;1,658736669;0,60295324;0,989335521;3,497128794;0;19,90730107;-1,082854799;7,136997539;0,098441345;213,145201;0,206234619;0,327588187;0,430139459;0,20490566;15,97456932;13,66365874;12,90566038;38,62592289;0,140155865
1997;C;75;28,81333333;53,65333333;25,64;28,01333333;0,458226667;6,808743918;14,6305763;1,133705201;0,430891523;1,263071336;0,373790173;3,578702117;5,114781059;1,656235181;3,651065579;7,226478449;10,89070102;3,016240663;3,016240663;1,338724046;1,838689783;1,131501405;5,591722059;0,029603234;17,61392448;-1,355170287;15,5910368;0,296032344;255,0614678;0,382671144;0,636962927;0,365435483;0,88951141;17,54485027;14,12074282;13,24909203;40,98403344;0,14229288
1997;PF;98;28,12244898;53,6122449;26,64285714;26,96938776;0,481316327;6,855783527;14,70591734;1,053059768;0,504311627;1,465358311;0,450145703;3,625334523;5,188224799;1,548236693;3,549212013;7,084151056;10,6357419;2,916443652;2,902170681;1,386856973;1,325007434;1,049063336;5,147784716;0,021409456;17,81980375;-1,51293488;19,0544157;0,261671127;242,7356527;0,345334523;0,577436812;0,378400238;0,614808207;17,81028843;14,32530479;12,73862623;40,45673506;0,138519179
1997;PG;87;27,32183908;58,7816092;30,51724138;28,26436782;0,513931034;6,944077357;15,78855761;0,963687349;1,660596293;4,613053989;0,706346495;3,52747784;4,659468171;1,684190169;1,364061241;3,896212732;5,270588235;7,121998388;3,367606769;1,939081386;0,505398872;0,853505238;3,963255439;0,007735697;19,07622885;-0,015471394;9,385979049;0,309427881;231,088477;0,17804996;0,294936342;0,526001612;0,213273167;17,44141821;14,33424658;12,6349718;40,70265915;0,14800967
1997;SF;86;28,15116279;56,65116279;28,75581395;27,89534884;0,49494186;7,195107034;16,03425076;0,898568807;1,171865443;3,429969419;0,53164526;3,725993884;5,100917431;1,460574924;2,595718654;5,842201835;8,442813456;3,606116208;2,766972477;1,617125382;0,780428135;1,027522936;4,415902141;0,004892966;19,30764526;-0,452599388;9,810397554;0,464831804;216,5577982;0,256538226;0,423608563;0,412452599;0,350140673;17,45810398;14,04036697;12,74617737;40,11498471;0,152464832
1997;SG;77;27,53246753;57,02597403;28,72727273;28,2987013;0,480792208;7,091353427;16,43663447;0,912491563;1,93832189;5,429535669;0,66212964;3,608518562;4,619574072;1,649612475;1,706505295;4,284417549;5,999301757;4,471546608;2,960549284;1,807052252;0,603281741;0,935645293;3,910159432;0,016757826;19,73234028;-0,32677761;5,194926103;0,083789131;222,4964506;0,194251135;0,320605144;0,470196672;0,246088677;17,5231002;14,2748749;12,76946352;40,65448621;0,146100314
