PLAYER_NAME;POSICIÓN;YEAR;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Otto Porter Jr.;PF;2022;28;63;41;22;0,651;22,2;3,1;6,6;0,464;1,3;3,4;0,37;0,8;1;0,803;1,4;4,4;5,7;1,5;0,6;1,1;0,5;0,1;1,3;1,1;8,2;3,7;5;0;103,3;0,189;0,273;0,245;0,213;7,4;5,3;5,6;19,7;0,111
P.J. Dozier;PF;2022;25;18;9;9;0,5;18,9;2;5,5;0,364;0,8;2,7;0,313;0,6;0,7;0,769;0,8;2,7;3,5;1,6;0,7;0,6;0,3;0,3;1,8;1,1;5,4;-5;0;0;109,5;0,144;0,208;0,183;0,182;7,4;4,2;5,2;18,1;0,06
P.J. Tucker;PF;2022;37;71;45;26;0,634;27,9;2,9;6;0,484;1,1;2,7;0,415;0,6;0,9;0,738;1,4;4;5,5;2,1;0,9;0,8;0,2;0,3;2,3;1,3;7,6;3,2;5;0;107,1;0,146;0,205;0,19;0,122;9,5;7,1;7,4;23,4;0,108
P.J. Washington;PF;2022;23;65;33;32;0,508;27,2;3,8;8,2;0,47;1,7;4,6;0,365;0,9;1,2;0,716;1,3;3,9;5,2;2,3;1,3;0,9;0,9;0,4;2,3;1,1;10,3;2,2;3;0;111,5;0,142;0,211;0,186;0,321;9;7,8;7,5;26,7;0,071
Pascal Siakam;PF;2022;28;68;40;28;0,588;37,9;8,8;17,8;0,494;1,1;3,2;0,344;4,2;5,6;0,749;1,9;6,6;8,5;5,3;2,7;1,3;0,6;0,9;3,3;5;22,8;3,8;30;2;109,6;0,182;0,264;0,184;0,176;10,5;9,7;9,3;35,7;0,118
Pat Connaughton;SG;2022;29;65;41;24;0,631;26;3,5;7,6;0,458;2,2;5,7;0,395;0,7;0,8;0,833;0,7;3,5;4,2;1,3;0,5;0,9;0,2;0,2;1,3;0,9;9,9;-0,4;0;0;112,1;0,13;0,184;0,225;0,109;8,3;6,7;5,8;23,4;0,063
Patrick Beverley;PG;2022;33;58;33;25;0,569;25,4;3,1;7,5;0,406;1,4;4,2;0,343;1,7;2,3;0,722;1,1;3,1;4,1;4,6;1,3;1,2;0,9;0,4;3;2,5;9,2;1,9;2;0;109,8;0,119;0,182;0,239;0,311;8,3;7,6;7,9;24,6;0,078
Patrick Williams;PF;2022;20;17;9;8;0,529;24,8;3,2;6;0,529;0,9;1,7;0,517;1,8;2,4;0,732;1;3,1;4,1;0,9;0,9;0,5;0,5;0,4;1,6;1,8;9;-3,3;1;0;113,3;0,132;0,19;0,141;0,273;8,3;6,4;7,2;27,3;0,051
Patty Mills;PG;2022;33;81;44;37;0,543;29;4;9,8;0,408;2,8;7;0,4;0,6;0,7;0,814;0,2;1,7;1,9;2,3;0,9;0,6;0,2;0,3;1,4;1,3;11,4;1,4;0;0;110,7;0,055;0,084;0,152;0,064;10,3;8,4;8,7;29,2;0,082
Paul George;SF;2022;32;31;18;13;0,581;34,8;8,6;20,5;0,421;2,9;8,3;0,354;4,1;4,8;0,858;0,4;6,5;6,9;5,7;4,1;2,2;0,4;0,9;2,4;5,1;24,3;3;7;0;103,9;0,171;0,258;0,362;0,129;11,6;10,2;8,8;33,8;0,169
Paul Millsap;PF;2022;37;33;22;11;0,667;11,4;1,4;3,5;0,391;0,2;1,1;0,229;0,5;0,7;0,708;1,2;2,2;3,5;0,9;0,6;0,3;0,4;0,2;2;0,8;3,5;-0,7;0;0;110,4;0,182;0,269;0,179;0,333;3,9;3,2;4,2;11,3;0,034
Paul Reed;PF;2022;22;38;21;17;0,553;8;1,4;2,5;0,563;0,1;0,2;0,25;0,2;0,4;0,429;1,2;1,3;2,4;0,4;0,3;0,9;0,4;0,2;1,5;0,3;3,1;-1,1;0;0;113,9;0,164;0,262;0,541;0,368;2,8;2,5;2,4;7,3;0,015
Paul Watson;SF;2022;27;9;2;7;0,222;17,4;1,3;3,9;0,343;0,7;2,9;0,231;0,1;0,2;0,5;0,3;2,7;3;0,9;0,4;0,3;0,3;0,1;1,1;0,1;3,4;-6,2;0;0;117,6;0,145;0,226;0,125;0,176;6,1;6,8;5,8;19,3;0,014
Payton Pritchard;SG;2022;24;71;46;25;0,648;14,1;2,3;5,3;0,429;1,4;3,5;0,412;0,3;0,3;1;0,5;1,4;1,9;2;0,6;0,4;0,1;0,2;0,9;0,4;6,2;0,9;0;0;107,2;0,093;0,14;0,187;0,056;4,9;4,1;3,8;13;0,054
Precious Achiuwa;PF;2022;22;73;46;27;0,63;23,6;3,6;8,3;0,439;0,8;2,1;0,359;1,1;1,8;0,595;2;4,5;6,5;1,1;1,2;0,5;0,6;0,7;2,1;1,5;9,1;1;6;0;106,7;0,188;0,277;0,124;0,248;6,6;7;5,4;21,8;0,094
Quentin Grimes;PF;2022;22;46;21;25;0,457;17,1;2,1;5,1;0,404;1,6;4,1;0,381;0,3;0,4;0,684;0,5;1,5;2;1;0,6;0,7;0,2;0;1,6;0,5;6;-1,2;0;0;105;0,085;0,124;0,254;0,141;5,2;4,2;3,3;13,8;0,076
Quinndary Weatherspoon;SG;2022;25;11;8;3;0,727;6,7;1,1;1,9;0,571;0,1;0,5;0,2;0,5;0,5;1;0,2;1,1;1,3;0,5;0,3;0,1;0,1;0;1,4;0,5;2,7;-0,9;0;0;119,4;0,182;0,245;0,067;0,2;2,4;1,6;2;5,5;0,002
R.J. Hampton;SG;2022;21;64;15;49;0,234;21,9;2,7;7,1;0,383;1;2,9;0,35;1,2;1,8;0,641;0,4;2,7;3;2,5;1,4;0,7;0,2;0,6;1,6;1,6;7,6;-6,5;0;0;113,5;0,12;0,171;0,216;0,121;8,1;5,8;6,2;21;0,044
Rajon Rondo;PG;2022;36;39;16;23;0,41;17,9;1,7;4,5;0,386;0,8;2,3;0,352;0,5;0,7;0,731;0,4;2,4;2,8;4,4;1,7;0,8;0,2;0,3;1,4;0,8;4,8;-2,8;1;0;106,8;0,118;0,183;0,288;0,085;6,7;5,1;5,8;17,4;0,074
Raul Neto;PG;2022;29;70;29;41;0,414;19,6;2,9;6,3;0,463;0,5;1,7;0,292;1,2;1,5;0,769;0,2;1,7;1,9;3,1;1,1;0,8;0;0,3;1,5;1,9;7,5;-1,2;0;0;112,9;0,089;0,129;0,281;0,025;6,4;4,7;3,6;20,5;0,043
Rayjon Tucker;PG;2022;24;5;2;3;0,4;14,2;1,2;1,8;0,667;0,8;1;0,8;1;1,4;0,714;0,6;1;1,6;2;0,2;0,8;0;0;1;1;4,2;-0,4;0;0;117,5;0,076;0,109;0,308;0;5,8;4,2;5,2;18;0,012
Reggie Bullock;SF;2022;31;68;44;24;0,647;28;3;7,4;0,401;2,1;5,8;0,36;0,6;0,7;0,833;0,5;3,1;3,5;1,2;0,6;0,6;0,2;0,2;1,6;0,3;8,6;4;0;0;106,7;0,106;0,156;0,152;0,091;7,5;7,8;6,5;27,7;0,111
Reggie Jackson;SG;2022;32;75;38;37;0,507;31,2;6,4;16,3;0,392;2,2;6,8;0,326;1,8;2,2;0,847;0,5;3,1;3,6;4,8;2,3;0,7;0,2;0,5;2,1;2,5;16,8;-0,9;5;0;109,4;0,092;0,135;0,168;0,064;10,5;9,2;8,5;32,3;0,099
Reggie Perry;PF;2022;22;10;0;10;0;18,7;4;7,9;0,506;0,3;1,6;0,188;0,9;1,5;0,6;1,5;3,2;4,7;1,2;1,1;0,9;0,6;0,3;3,3;1,2;9,2;-7,8;1;0;117,1;0,165;0,274;0,257;0,4;7,5;7,9;6,6;19;0,018
Richaun Holmes;C;2022;28;45;16;29;0,356;23,9;4,4;6,7;0,66;0;0,1;0,4;1,6;2;0,778;2,1;5;7;1,1;1,2;0,4;0,9;0,4;2,8;1,9;10,4;-3;8;0;113;0,198;0,3;0,109;0,373;9;7,3;6,8;25,6;0,052
Ricky Rubio;PG;2022;31;34;20;14;0,588;28,5;4,4;12,1;0,363;1,7;5,1;0,339;2,6;3;0,854;0,4;3,7;4,1;6,6;2,6;1,4;0,2;0,8;2,2;2,9;13,1;5,4;5;0;99,5;0,122;0,178;0,301;0,086;10,3;6,8;7,2;27,9;0,177
RJ Barrett;SG;2022;21;70;33;37;0,471;34,5;7;17,1;0,408;2;5,8;0,342;4,1;5,8;0,714;0,9;4,9;5,8;3;2,2;0,6;0,2;1,5;2;4,1;20;-2,1;4;0;111,6;0,136;0,195;0,132;0,069;11,4;8,7;8,9;32;0,089
RJ Nembhard Jr.;SG;2022;23;14;6;8;0,429;4,5;0,4;1,3;0,333;0;0,1;0;0,2;0,3;0,75;0,2;0,3;0,5;0,9;0,2;0,1;0;0,2;0,1;0,4;1,1;-0,5;0;0;91,1;0,056;0,085;0,1;0;1,6;1,1;0,5;4,4;0,037
Robert Covington;PF;2022;31;71;34;37;0,479;27,3;2,9;7;0,42;1,8;4,8;0,378;0,8;1;0,841;0,8;4,7;5,5;1,3;1,1;1,5;1,3;0,4;2,7;1;8,5;0,5;1;0;110,2;0,167;0,241;0,303;0,396;8,7;7,3;6,9;25,9;0,081
Robert Williams III;C;2022;24;61;40;21;0,656;29,6;4,4;6;0,736;0;0;0;1,1;1,5;0,722;3,9;5,7;9,6;2;1;0,9;2,2;0,2;2,2;1,2;10;6,1;25;1;103,4;0,178;0,261;0,199;0,57;9,2;7,7;7,7;25,2;0,146
Robin Lopez;C;2022;34;36;9;27;0,25;17;3,1;5,5;0,553;0,1;0,2;0,333;0,9;1,5;0,593;1,9;1,6;3,5;1,5;1,2;0,1;0,5;0,1;1,9;1,6;7,1;-1,8;3;0;109,7;0,089;0,131;0,024;0,409;6;4,9;4,5;16,5;0,052
Rodney Hood;SF;2022;29;52;30;22;0,577;13,6;1,1;3;0,369;0,6;1,8;0,33;0,3;0,4;0,895;0,3;1,2;1,5;0,7;0,2;0,3;0,1;0;0,6;0,4;3,1;0,2;0;0;107,9;0,081;0,125;0,126;0,102;4,3;4,1;3,3;12,8;0,05
Rodney McGruder;SG;2022;30;51;13;38;0,255;14,8;1,9;4,4;0,436;1,1;2,9;0,397;0,4;0,5;0,731;0,6;1,6;2,2;0,9;0,5;0,4;0,1;0,3;1,1;0,5;5,4;-1,1;0;0;108,7;0,104;0,155;0,169;0,086;5,1;3,5;3,9;14,8;0,051
Romeo Langford;SG;2022;22;48;24;24;0,5;16,1;1,7;4;0,435;0,6;1,8;0,341;0,5;0,9;0,548;0,6;1,6;2,3;0,4;0,3;0,5;0,3;0,3;1;0,8;4,5;0,1;0;0;103,1;0,092;0,135;0,183;0,165;5,1;4,5;3,7;14,3;0,08
Royce O'Neale;SF;2022;28;77;46;31;0,597;31,2;2,6;5,8;0,457;1,5;4;0,389;0,6;0,7;0,804;0,8;3,9;4,8;2,5;1;1,1;0,4;0,2;2,4;1;7,4;3;3;0;110,5;0,12;0,172;0,236;0,125;10,6;8,6;7,7;30,1;0,09
Rudy Gay;PF;2022;35;55;34;21;0,618;18,9;2,9;6,9;0,414;1,3;3,7;0,345;1,1;1,4;0,785;1;3,4;4,4;1;0,9;0,5;0,3;0,3;1,7;1,1;8,1;3,3;0;0;104,9;0,166;0,235;0,154;0,188;6,4;4,5;4,3;16,8;0,087
Rudy Gobert;C;2022;29;66;42;24;0,636;32,1;5,5;7,7;0,713;0;0,1;0;4,6;6,7;0,69;3,7;11;14,7;1,1;1,8;0,7;2,1;0,7;2,7;5,8;15,6;6,3;53;0;104,5;0,312;0,449;0,148;0,668;10,7;7,8;7,9;28;0,151
Rui Hachimura;PF;2022;24;42;16;26;0,381;22,5;4,5;9,1;0,491;1,3;2,9;0,447;1,1;1,6;0,697;0,6;3,2;3,8;1,1;0,8;0,5;0,2;0,4;1,3;1,4;11,3;-3;0;0;115,8;0,143;0,21;0,185;0,1;7,7;5,2;5,2;21,9;0,03
Russell Westbrook;PG;2022;33;78;31;47;0,397;34,3;7;15,8;0,444;1;3,4;0,298;3,4;5,1;0,667;1,4;6;7,4;7,1;3,8;1;0,3;1,1;3;3,9;18,5;-2,7;28;10;111,5;0,165;0,247;0,179;0,071;12,1;9,7;10,8;36,8;0,09
Ryan Arcidiacono;PG;2022;28;10;8;2;0,8;7,6;0,6;1,2;0,5;0,4;0,9;0,444;0;0;0;0;0,8;0,8;0,4;0,3;0,1;0;0;0,5;0,5;1,6;-1,2;0;0;99,4;0,105;0,133;0,1;0;3,2;1,1;1,8;5,8;0,048
Saben Lee;PG;2022;22;37;8;29;0,216;16,3;1,9;4,8;0,39;0,4;1,6;0,233;1,5;1,9;0,789;0,5;1,9;2,4;2,9;1;1;0,3;0,6;1,2;1,8;5,6;-2,2;1;0;110,8;0,113;0,175;0,367;0,188;6;4,3;3,8;19;0,046
Saddiq Bey;SF;2022;23;82;23;59;0,28;33;5,5;13,9;0,396;2,6;7,4;0,346;2,6;3,1;0,827;1,3;4,1;5,4;2,8;1,2;0,9;0,2;0,6;1,6;2,2;16,1;-6,1;6;0;114;0,125;0,185;0,176;0,067;11,2;8,7;7,6;34,6;0,061
Sam Hauser;SF;2022;24;26;20;6;0,769;6,1;0,9;1,9;0,46;0,7;1,7;0,432;0;0;0;0,2;0,9;1,1;0,4;0,1;0;0,1;0;0,3;0;2,5;0;0;0;106;0,133;0,197;0,059;0,105;2,1;2;2;5,9;0,026
Sam Merrill;SG;2022;25;6;2;4;0,333;9,6;1,3;4;0,333;1,2;3,8;0,304;0,3;0,7;0,5;0,2;1;1,2;0,7;0,3;0;0;0;0,5;0,8;4,2;-1,5;0;0;112,7;0,107;0,171;0;0;1,8;3,3;4,7;10;0,021
Sandro Mamukelashvili;SG;2022;22;41;22;19;0,537;9,9;1,4;2,8;0,496;0,5;1,3;0,423;0,4;0,5;0,818;0,9;1,1;2;0,5;0,4;0,2;0,2;0,2;0,7;0,5;3,8;-3,5;1;0;117,3;0,116;0,183;0,15;0,257;4;3,3;4;10,8;0,009
Santi Aldama;SG;2022;21;32;20;12;0,625;11,2;1,7;4,1;0,402;0,2;1,5;0,125;0,6;1;0,625;1;1,7;2,7;0,7;0,5;0,2;0,3;0,2;1,1;0,8;4,1;0,5;2;0;104,6;0,15;0,217;0,087;0,213;3,3;3;3,7;11,8;0,052
Scottie Barnes;SG;2022;20;74;43;31;0,581;35,4;6,2;12,6;0,492;0,8;2,6;0,301;2,1;2,9;0,735;2,6;4,9;7,5;3,5;1,8;1,1;0,7;0,5;2,6;2,9;15,3;0,9;13;0;108,4;0,141;0,211;0,167;0,225;10,5;10,3;8,5;33,8;0,124
Semi Ojeleye;PF;2022;27;30;14;16;0,467;13,5;1;3,3;0,303;0,5;1,7;0,3;0,8;1;0,793;0,9;1,6;2,5;0,3;0,3;0,2;0,2;0,3;1;0,8;3,3;-4,8;0;0;114,4;0,111;0,18;0,117;0,136;5,6;4;3,9;14,1;0,024
Serge Ibaka;C;2022;32;54;30;24;0,556;16,3;2,7;5,5;0,5;0,7;1,8;0,374;0,6;0,8;0,727;1,1;3,5;4,6;0,9;0,8;0,2;0,6;0,2;1,9;0,7;6,8;-1;3;0;108,9;0,197;0,273;0,103;0,471;5,7;4,1;4,1;15,7;0,054
Seth Curry;SG;2022;31;64;38;26;0,594;33,3;5,6;11,5;0,487;2,5;5,8;0,422;1,3;1,5;0,872;0,3;2,8;3,1;3,6;1,7;0,8;0,2;0,2;2,3;1,6;15;3;1;0;109,2;0,082;0,121;0,169;0,059;10,5;9;9,9;32;0,105
Shai Gilgeous-Alexander;SG;2022;23;56;16;40;0,286;34,7;8,5;18,8;0,453;1,6;5,3;0,3;5,9;7,2;0,81;0,7;4,3;5;5,9;2,8;1,3;0,8;1,1;2,5;5,5;24,5;-4,7;6;1;113;0,114;0,167;0,218;0,258;11,1;9,7;7,9;34,4;0,075
Shake Milton;SG;2022;25;55;34;21;0,618;21,4;3,1;7,3;0,429;0,8;2,4;0,323;1,1;1,3;0,836;0,5;2;2,6;2,5;0,8;0,5;0,3;0,4;1,8;1,4;8,2;-0,5;0;0;109,6;0,094;0,136;0,154;0,127;7,2;5,9;7,3;19,6;0,068
Skylar Mays;SG;2022;24;28;17;11;0,607;7,9;1,1;2,3;0,5;0,3;0,9;0,32;0,3;0,3;0,889;0,2;0,7;0,9;0,6;0,4;0,3;0;0,2;0,3;0,4;2,9;-1,9;1;0;117,5;0,091;0,129;0,259;0;3,1;2,5;2;8;0,006
Solomon Hill;PF;2022;31;13;7;6;0,538;10,7;0,2;1,5;0,15;0,2;1;0,154;0;0;0;0,5;1,3;1,8;0,9;0,1;0,3;0,2;0,1;1,2;0,2;0,6;3,2;0;0;95,1;0,115;0,143;0,174;0,167;3,2;1,5;1,8;9,2;0,079
Spencer Dinwiddie;SG;2022;29;67;38;29;0,567;29,6;4,6;11;0,416;1,7;4,9;0,339;2,9;3,8;0,774;0,7;3,5;4,2;5,2;1,6;0,7;0,2;0,6;2,2;3,1;13,7;-0,7;7;1;109,4;0,111;0,164;0,186;0,067;8,6;8;5,8;29,2;0,097
Stanley Johnson;PF;2022;25;48;16;32;0,333;22,8;2,4;5,2;0,466;0,7;2,2;0,314;1,1;1,5;0,716;0,7;2,5;3,2;1,7;0,7;0,9;0,3;0,4;2,3;1,3;6,7;-1;0;0;115,2;0,109;0,164;0,24;0,144;7,8;6,6;7,2;25,7;0,034
Stephen Curry;PG;2022;34;64;45;19;0,703;34,5;8,4;19,1;0,437;4,5;11,7;0,38;4,3;4,7;0,923;0,5;4,7;5,2;6,3;3,2;1,3;0,4;0,6;2;3,5;25,5;8;12;2;103,4;0,126;0,184;0,192;0,099;12,4;9,2;9,1;32,3;0,174
Sterling Brown;SG;2022;27;49;31;18;0,633;12,8;1,2;3,2;0,381;0,6;1,9;0,304;0,3;0,3;0,933;0,5;2,5;3;0,7;0,5;0,3;0,1;0,3;1,1;0,2;3,3;0,7;2;0;103,1;0,188;0,27;0,151;0,152;4,6;3;3,6;12,7;0,067
Steven Adams;C;2022;28;76;51;25;0,671;26,3;2,8;5,1;0,547;0;0;0;1,4;2,6;0,543;4,6;5,4;10;3,4;1,5;0,9;0,8;0,6;2;2,6;6,9;4,6;14;0;109,5;0,198;0,278;0,181;0,264;7,9;6,5;7,3;25,7;0,082
Svi Mykhailiuk;SG;2022;24;56;29;27;0,518;12,8;1,6;4,2;0,389;0,7;2,4;0,306;0,6;0,7;0,865;0,4;1,3;1,6;0,8;0,6;0,5;0,1;0,2;1;0,5;4,6;-1,4;0;0;109,5;0,101;0,154;0,187;0,055;4,1;4,4;3;11,6;0,042
T.J. McConnell;PG;2022;30;27;9;18;0,333;24,2;3,7;7,7;0,481;0,4;1,2;0,303;0,7;0,9;0,826;0,7;2,6;3,3;4,9;1,1;1,1;0,4;0,4;2;1,4;8,5;-2,7;1;0;112,3;0,11;0,164;0,261;0,128;9;7,3;6,3;26,4;0,058
Tacko Fall;C;2022;26;11;4;7;0,364;5,3;0,5;1,1;0,417;0;0;0;0,2;0,6;0,286;0,6;1,5;2,1;0,2;0,3;0;0,5;0,1;0,3;0,7;1,1;0,5;0;0;100,8;0,271;0,372;0;1;1,2;1,9;1,3;3,1;0,03
Taj Gibson;C;2022;36;52;24;28;0,462;18,2;1,7;3,2;0,518;0,3;0,7;0,395;0,8;1;0,808;1,7;2,7;4,4;0,6;0,5;0,4;0,8;0,2;2,6;0,9;4,4;0,8;0;0;104,2;0,139;0,207;0,164;0,455;5,1;5,3;3,9;15;0,086
Talen Horton-Tucker;SG;2022;21;60;23;37;0,383;25,2;3,7;9;0,416;0,8;3;0,269;1,7;2,1;0,8;0,6;2,6;3,2;2,7;1,4;1;0,5;0,5;2,5;1,6;10;-1,5;1;0;110,1;0,1;0,145;0,258;0,181;8,6;6,3;6,9;25,8;0,076
Taurean Prince;PF;2022;28;69;40;29;0,58;17,1;2,6;5,7;0,454;1,2;3,3;0,376;0,9;1,2;0,756;0,4;2,1;2,5;1;0,8;0,7;0,3;0,2;1,7;1,2;7,3;-0,1;0;0;110,9;0,12;0,187;0,204;0,159;6;5,3;5,2;16,5;0,049
Terance Mann;SG;2022;25;81;41;40;0,506;28,6;4,1;8,5;0,484;0,9;2,6;0,365;1,6;2;0,78;1,3;4;5,2;2,6;1;0,7;0,3;0,5;2,2;2;10,8;0,8;6;0;107,1;0,127;0,191;0,163;0,09;9,5;8,7;7,4;29,7;0,111
Terence Davis;SG;2022;24;30;11;19;0,367;17,9;3,8;8,9;0,423;1,6;5;0,329;1,2;1,5;0,818;0,4;2,8;3,1;1,3;1,1;0,8;0,4;0,5;2,3;1,1;10,4;2;0;0;109;0,138;0,205;0,284;0,164;6,1;5,8;3,8;17,5;0,06
Terrence Ross;SG;2022;31;63;14;49;0,222;23;3,5;8,8;0,397;1,2;4,2;0,292;1,8;2,1;0,862;0,3;2,2;2,6;1,8;1,2;0,4;0,2;0,4;1,1;1,5;10;-5,5;0;0;113,8;0,094;0,142;0,139;0,095;8,7;6,3;5,6;24;0,044
Terry Rozier;SG;2022;28;73;38;35;0,521;33,7;7,1;16;0,444;3;8,1;0,374;2,1;2,4;0,852;0,8;3,5;4,3;4,5;1,3;1,3;0,3;0,6;1,6;2,4;19,3;1;3;1;112;0,101;0,149;0,215;0,107;11,1;10,1;9,6;33,6;0,082
Terry Taylor;SG;2022;22;33;7;26;0,212;21,6;4,1;6,7;0,614;0,4;1,2;0,316;1,1;1,5;0,706;2,9;2,3;5,2;1,2;0,7;0,4;0,2;0,4;1,8;1,2;9,6;-3,5;2;0;119,1;0,117;0,172;0,133;0,125;8,8;6,2;6,7;24,1;0,008
Thaddeus Young;PF;2022;33;52;27;25;0,519;16,3;2,7;5,2;0,518;0,3;0,9;0,354;0,4;0,9;0,469;1,5;2,5;4;2;1;1;0,3;0,4;1,6;1;6,2;0,4;0;0;106,3;0,152;0,223;0,346;0,228;5,2;4,2;4,3;15,2;0,068
Thanasis Antetokounmpo;SF;2022;29;48;26;22;0,542;9,9;1,5;2,7;0,547;0;0,3;0,143;0,6;1;0,63;0,8;1,3;2,1;0,5;0,5;0,3;0,3;0,3;1,4;0,8;3,6;-2,4;0;0;114,4;0,129;0,209;0,235;0,3;3,6;3,3;3,6;10,6;0,017
Theo Maledon;SF;2022;20;51;14;37;0,275;17,8;2,3;6,2;0,375;0,9;2,9;0,293;1,5;2;0,79;0,4;2,2;2,6;2,2;1,3;0,6;0,2;0,5;1,3;1,8;7,1;-3,9;1;0;112,3;0,118;0,17;0,265;0,128;6,5;5,1;4,1;17,8;0,042
Theo Pinson;SG;2022;26;19;14;5;0,737;7,8;0,7;2,1;0,359;0,5;1,6;0,333;0,5;0,5;1;0,1;1;1,1;0,9;0,3;0,3;0,1;0;0,6;0,4;2,5;-2,2;0;0;107,6;0,124;0,174;0,179;0,133;3;1,6;2,3;8,4;0,031
Thomas Bryant;C;2022;24;27;8;19;0,296;16,3;2,9;5,5;0,52;0,4;1,6;0,286;1,3;1,5;0,875;1;3;4;0,9;0,7;0,2;0,8;0,3;1,6;1,4;7,4;-2,8;0;0;112,8;0,187;0,272;0,098;0,438;4,8;4,6;3,7;17;0,036
Tim Frazier;PG;2022;31;12;1;11;0,083;17,3;1,2;3,8;0,311;0,5;1,4;0,353;0,4;0,8;0,556;0,4;1,2;1,6;2,8;1,3;0,3;0,1;0,2;2,3;1;3,3;-6,7;0;0;110,2;0,066;0,099;0,097;0,056;7,8;5,3;3,5;17,5;0,052
Tim Hardaway Jr.;SG;2022;30;42;24;18;0,571;29,6;5;12,6;0,394;2,4;7,2;0,336;1,9;2,5;0,757;0,3;3,4;3,7;2,2;0,8;0,9;0,1;0,4;1,8;2,1;14,2;0,9;0;0;107,7;0,114;0,163;0,216;0,065;8,6;8,5;7,5;28,5;0,111
Timothe Luwawu-Cabarrot;SG;2022;27;52;30;22;0,577;13,2;1,4;3,6;0,398;0,8;2,3;0,361;0,7;0,8;0,854;0,3;1,3;1,6;0,8;0,4;0,3;0,1;0,2;1,5;0,7;4,4;-1;0;0;113,2;0,094;0,129;0,171;0,115;5,1;2,8;3,9;12,5;0,028
Tobias Harris;PF;2022;29;73;45;28;0,616;34,8;6,8;14;0,482;1,4;3,8;0,367;2,3;2,8;0,842;1,1;5,7;6,8;3,5;1,6;0,6;0,6;1;2,2;2,2;17,2;2,3;9;1;110;0,164;0,234;0,121;0,158;9,6;9,3;10,9;34,6;0,105
Tomas Satoransky;PF;2022;30;55;21;34;0,382;16,5;1,3;3,5;0,377;0,2;1;0,208;0,8;1;0,796;0,5;1,8;2,3;3,3;0,8;0,5;0,1;0,2;1,3;1,1;3,6;-3;1;0;112,4;0,11;0,155;0,227;0,056;5,9;4,2;4;16,2;0,039
Tony Bradley;C;2022;24;55;28;27;0,509;10;1,3;2,2;0,585;0;0;0;0,3;0,5;0,655;1,2;2,2;3,4;0,5;0,6;0,2;0,6;0,3;1,1;0,6;3;1,3;0;0;105;0,196;0,295;0,123;0,485;3,3;2,9;2,5;9,7;0,046
Tony Snell;SG;2022;30;53;19;34;0,358;15,5;1,3;3,2;0,404;0,8;2,4;0,352;0,1;0,1;1;0,3;1,6;1,9;0,5;0,4;0,3;0,2;0,1;1,3;0,2;3,5;-2,2;0;0;112,6;0,107;0,156;0,122;0,134;4,6;4,2;4,1;15,2;0,035
Torrey Craig;SF;2022;31;78;36;42;0,462;20,5;2,6;5,7;0,454;1;3;0,329;0,5;0,7;0,75;1,1;2,9;4;1,2;0,9;0,6;0,5;0,2;1,9;0,7;6,6;-2,4;3;0;111,8;0,137;0,2;0,209;0,181;7,1;5,5;5,7;20,7;0,051
Trae Young;PG;2022;23;76;40;36;0,526;34,9;9,4;20,3;0,46;3,1;8;0,382;6,6;7,3;0,904;0,7;3,1;3,7;9,7;4;0,9;0,1;1,2;1,7;5,9;28,4;2,1;42;0;114,9;0,087;0,126;0,183;0,03;11;9,4;9,1;35,6;0,056
Tre Jones;PG;2022;22;69;32;37;0,464;16,6;2,4;4,9;0,49;0,1;0,7;0,196;1;1,3;0,78;0,4;1,8;2,2;3,4;0,7;0,6;0,1;0,4;1,1;1,5;6;-0,2;3;0;109,3;0,103;0,154;0,239;0,073;5,9;5,5;3,9;17,3;0,055
Tre Mann;PG;2022;21;60;17;43;0,283;22,8;3,9;9,8;0,393;1,6;4,5;0,36;1,1;1,4;0,793;0,4;2,4;2,9;1,5;1,2;0,8;0,2;0,6;1,7;1,2;10,4;-4,6;0;0;112;0,101;0,15;0,221;0,082;8,4;7,3;4,8;25;0,055
Trendon Watford;PG;2022;21;48;16;32;0,333;18,1;3;5,6;0,532;0,2;0,8;0,237;1,5;2;0,755;1,2;3;4,1;1,7;0,9;0,5;0,6;0,4;2,4;1,6;7,6;-7,3;2;0;118,4;0,163;0,248;0,181;0,333;7,4;4,9;6;17,7;0,01
Trent Forrest;PG;2022;23;60;36;24;0,6;12,8;1,3;2,6;0,49;0,1;0,5;0,185;0,6;0,8;0,792;0,4;1,3;1,7;1,8;0,8;0,5;0,1;0,2;0,7;0,7;3,3;1,3;0;0;108,5;0,093;0,131;0,263;0,085;4,4;3,1;3,1;11,7;0,044
Trevelin Queen;PG;2022;25;10;1;9;0,1;7,4;1,5;3,3;0,455;0,9;2,4;0,375;0,4;0,4;1;0,7;0,9;1,6;0,4;0,7;0,5;0,1;0;0,6;0,5;4,3;0,8;0;0;107,3;0,134;0,188;0,357;0,111;3,5;0,9;2,1;7,8;0,029
